,Dataset,Interestingness,HPO,Method,Score,Hyperparams,Duration
1,twomoon,naive_avg,BOHB,BINARY,0.1249882081321299,"[('KMeans', {'n_clusters': 29}), ('KMeans', {'n_clusters': 20}), ('MeanShift', {'bandwidth': 15.610136630553454}), ('MeanShift', {'bandwidth': 34.79949013326409}), ('MeanShift', {'bandwidth': 19.316290970165188}), ('MeanShift', {'bandwidth': 43.7195234815526})]",60.659411907196045
2,twomoon,naive_avg,BOHB,ALG_NUMBER,0.3577282235576823,"[('HDBSCAN', {'min_cluster_size': 24}), ('MeanShift', {'bandwidth': 9.510056226940407}), ('MeanShift', {'bandwidth': 12.538426513026819}), ('MeanShift', {'bandwidth': 27.964329735980606}), ('MeanShift', {'bandwidth': 49.66226524064171})]",62.38787364959717
0,twomoon,naive_avg,Optunity,FIXED,-0.0218250630318805,"[('HDBSCAN', {'min_cluster_size': 7.770352904438337}), ('HDBSCAN', {'min_cluster_size': 25.569405806912908}), ('HDBSCAN', {'min_cluster_size': 27.391807308343516}), ('HDBSCAN', {'min_cluster_size': 9.574331053528258}), ('HDBSCAN', {'min_cluster_size': 23.82518130070547}), ('KMeans', {'n_clusters': 20.423347904309235}), ('KMeans', {'n_clusters': 5.29289871744749}), ('KMeans', {'n_clusters': 14.762977699175396}), ('KMeans', {'n_clusters': 6.787084368480988}), ('KMeans', {'n_clusters': 12.600411450280893}), ('MeanShift', {'bandwidth': 0.8236244753952824}), ('MeanShift', {'bandwidth': 19.344341334229256}), ('MeanShift', {'bandwidth': 35.734650464549944}), ('MeanShift', {'bandwidth': 39.23151339371994}), ('MeanShift', {'bandwidth': 42.449043307239684})]",132.81134724617004
1,twomoon,naive_avg,Optunity,BINARY,0.2800243892772098,"[('HDBSCAN', {'min_cluster_size': 12.933452718784569}), ('HDBSCAN', {'min_cluster_size': 16.15229199390466}), ('KMeans', {'n_clusters': 19.950050556380805})]",79.35866594314575
2,twomoon,naive_avg,Optunity,ALG_NUMBER,0.3262398606936042,"[('HDBSCAN', {'min_cluster_size': 11.835813228886495}), ('HDBSCAN', {'min_cluster_size': 27.24659346858372})]",35.64077425003052
0,target,naive_avg,SMAC HPO,FIXED,-0.1127002758863211,"Configuration(values={
  'HDBSCAN_0_min_cluster_size': 12,
  'HDBSCAN_1_min_cluster_size': 30,
  'HDBSCAN_2_min_cluster_size': 21,
  'HDBSCAN_3_min_cluster_size': 14,
  'HDBSCAN_4_min_cluster_size': 18,
  'KMeans_0_n_clusters': 26,
  'KMeans_1_n_clusters': 28,
  'KMeans_2_n_clusters': 26,
  'KMeans_3_n_clusters': 5,
  'KMeans_4_n_clusters': 8,
  'MeanShift_0_bandwidth': 24.1153606027435,
  'MeanShift_1_bandwidth': 35.0230016615385,
  'MeanShift_2_bandwidth': 42.6818931115961,
  'MeanShift_3_bandwidth': 1.7598728496511,
  'MeanShift_4_bandwidth': 2.3514881285663,
})",185.48194670677185
1,target,naive_avg,SMAC HPO,BINARY,0.1059453511242198,"Configuration(values={
  'HDBSCAN_0': np.False_,
  'HDBSCAN_1': np.False_,
  'HDBSCAN_2': np.True_,
  'HDBSCAN_3': np.True_,
  'HDBSCAN_4': np.False_,
  'KMeans_0': np.False_,
  'KMeans_1': np.False_,
  'KMeans_2': np.True_,
  'KMeans_3': np.False_,
  'KMeans_4': np.False_,
  'MeanShift_0': np.True_,
  'MeanShift_1': np.False_,
  'MeanShift_2': np.False_,
  'MeanShift_3': np.False_,
  'MeanShift_4': np.False_,
  'HDBSCAN_2_min_cluster_size': 4,
  'HDBSCAN_3_min_cluster_size': 27,
  'KMeans_2_n_clusters': 27,
  'MeanShift_0_bandwidth': 0.9117078593001,
})",113.60492253303528
2,target,naive_avg,SMAC HPO,ALG_NUMBER,0.0169466008914785,"Configuration(values={
  'HDBSCAN': 3,
  'KMeans': 1,
  'MeanShift': 0,
  'HDBSCAN_0_min_cluster_size': 28,
  'HDBSCAN_1_min_cluster_size': 10,
  'HDBSCAN_2_min_cluster_size': 17,
  'KMeans_0_n_clusters': 19,
})",106.10827040672302
0,target,naive_avg,SMAC BB,FIXED,-0.1316356674298031,"Configuration(values={
  'HDBSCAN_0_min_cluster_size': 8,
  'HDBSCAN_1_min_cluster_size': 30,
  'HDBSCAN_2_min_cluster_size': 3,
  'HDBSCAN_3_min_cluster_size': 3,
  'HDBSCAN_4_min_cluster_size': 30,
  'KMeans_0_n_clusters': 6,
  'KMeans_1_n_clusters': 8,
  'KMeans_2_n_clusters': 21,
  'KMeans_3_n_clusters': 6,
  'KMeans_4_n_clusters': 27,
  'MeanShift_0_bandwidth': 11.7330334046521,
  'MeanShift_1_bandwidth': 37.2138297706149,
  'MeanShift_2_bandwidth': 1.1770222482219,
  'MeanShift_3_bandwidth': 2.0220657826889,
  'MeanShift_4_bandwidth': 42.3208921447086,
})",229.9704773426056
1,target,naive_avg,SMAC BB,BINARY,0.0544999999999999,"Configuration(values={
  'HDBSCAN_0': np.False_,
  'HDBSCAN_1': np.False_,
  'HDBSCAN_2': np.False_,
  'HDBSCAN_3': np.False_,
  'HDBSCAN_4': np.False_,
  'KMeans_0': np.False_,
  'KMeans_1': np.False_,
  'KMeans_2': np.False_,
  'KMeans_3': np.False_,
  'KMeans_4': np.True_,
  'MeanShift_0': np.False_,
  'MeanShift_1': np.False_,
  'MeanShift_2': np.False_,
  'MeanShift_3': np.False_,
  'MeanShift_4': np.False_,
  'KMeans_4_n_clusters': 12,
})",183.1092233657837
2,target,naive_avg,SMAC BB,ALG_NUMBER,0.3926674543086944,"Configuration(values={
  'HDBSCAN': 1,
  'KMeans': 0,
  'MeanShift': 1,
  'HDBSCAN_0_min_cluster_size': 30,
  'MeanShift_0_bandwidth': 0.1738616718187,
})",153.7353572845459
0,target,naive_avg,SMAC AC,FIXED,-0.190431448822828,"Configuration(values={
  'HDBSCAN_0_min_cluster_size': 2,
  'HDBSCAN_1_min_cluster_size': 5,
  'HDBSCAN_2_min_cluster_size': 15,
  'HDBSCAN_3_min_cluster_size': 2,
  'HDBSCAN_4_min_cluster_size': 24,
  'KMeans_0_n_clusters': 24,
  'KMeans_1_n_clusters': 14,
  'KMeans_2_n_clusters': 22,
  'KMeans_3_n_clusters': 27,
  'KMeans_4_n_clusters': 11,
  'MeanShift_0_bandwidth': 40.8421753879391,
  'MeanShift_1_bandwidth': 28.9128227725707,
  'MeanShift_2_bandwidth': 2.7603029216937,
  'MeanShift_3_bandwidth': 15.8208736433769,
  'MeanShift_4_bandwidth': 43.485199795901,
})",130.1377363204956
