,Dataset,Interestingness,HPO,Method,Score,Hyperparams,Duration
2,disk-4500n,naive_avg,Optunity,ALG_NUMBER,-0.2082150759173908,"[('HDBSCAN', {'min_cluster_size': 3.4948174867362787}), ('HDBSCAN', {'min_cluster_size': 10.227506365669157}), ('HDBSCAN', {'min_cluster_size': 23.143994553890217}), ('HDBSCAN', {'min_cluster_size': 19.024542269644478}), ('KMeans', {'n_clusters': 13.539535330029778}), ('KMeans', {'n_clusters': 2.227648142224043}), ('KMeans', {'n_clusters': 10.096233243813733}), ('KMeans', {'n_clusters': 11.83703737591609}), ('KMeans', {'n_clusters': 24.396338022304857}), ('MeanShift', {'bandwidth': 8.18670964295462})]",1222.9626865386963
0,D13,naive_avg,SMAC HPO,FIXED,-0.0483574983068942,"Configuration(values={
  'HDBSCAN_0_min_cluster_size': 29,
  'HDBSCAN_1_min_cluster_size': 1,
  'HDBSCAN_2_min_cluster_size': 5,
  'HDBSCAN_3_min_cluster_size': 1,
  'HDBSCAN_4_min_cluster_size': 12,
  'KMeans_0_n_clusters': 3,
  'KMeans_1_n_clusters': 3,
  'KMeans_2_n_clusters': 2,
  'KMeans_3_n_clusters': 16,
  'KMeans_4_n_clusters': 19,
  'MeanShift_0_bandwidth': 38.8588347569237,
  'MeanShift_1_bandwidth': 4.0776152694855,
  'MeanShift_2_bandwidth': 0.1899665461287,
  'MeanShift_3_bandwidth': 17.363858156788,
  'MeanShift_4_bandwidth': 42.664202857879,
})",140.68729090690613
1,D13,naive_avg,SMAC HPO,BINARY,0.2898497320507665,"Configuration(values={
  'HDBSCAN_0': np.True_,
  'HDBSCAN_1': np.False_,
  'HDBSCAN_2': np.False_,
  'HDBSCAN_3': np.False_,
  'HDBSCAN_4': np.False_,
  'KMeans_0': np.False_,
  'KMeans_1': np.True_,
  'KMeans_2': np.False_,
  'KMeans_3': np.False_,
  'KMeans_4': np.True_,
  'MeanShift_0': np.False_,
  'MeanShift_1': np.False_,
  'MeanShift_2': np.False_,
  'MeanShift_3': np.False_,
  'MeanShift_4': np.False_,
  'HDBSCAN_0_min_cluster_size': 26,
  'KMeans_1_n_clusters': 2,
  'KMeans_4_n_clusters': 13,
})",89.84773564338684
2,D13,naive_avg,SMAC HPO,ALG_NUMBER,0.1169795726927436,"Configuration(values={
  'HDBSCAN': 1,
  'KMeans': 4,
  'MeanShift': 0,
  'HDBSCAN_0_min_cluster_size': 9,
  'KMeans_0_n_clusters': 2,
  'KMeans_1_n_clusters': 28,
  'KMeans_2_n_clusters': 6,
  'KMeans_3_n_clusters': 26,
})",93.17151713371275
0,D13,naive_avg,SMAC BB,FIXED,0.0199947438696253,"Configuration(values={
  'HDBSCAN_0_min_cluster_size': 30,
  'HDBSCAN_1_min_cluster_size': 25,
  'HDBSCAN_2_min_cluster_size': 1,
  'HDBSCAN_3_min_cluster_size': 26,
  'HDBSCAN_4_min_cluster_size': 30,
  'KMeans_0_n_clusters': 10,
  'KMeans_1_n_clusters': 23,
  'KMeans_2_n_clusters': 12,
  'KMeans_3_n_clusters': 29,
  'KMeans_4_n_clusters': 2,
  'MeanShift_0_bandwidth': 49.9984269140946,
  'MeanShift_1_bandwidth': 12.3522779148086,
  'MeanShift_2_bandwidth': 49.9996478777319,
  'MeanShift_3_bandwidth': 0.1139080826713,
  'MeanShift_4_bandwidth': 0.295140453065,
})",178.2408525943756
1,D13,naive_avg,SMAC BB,BINARY,0.1941507927215546,"Configuration(values={
  'HDBSCAN_0': np.False_,
  'HDBSCAN_1': np.True_,
  'HDBSCAN_2': np.True_,
  'HDBSCAN_3': np.False_,
  'HDBSCAN_4': np.True_,
  'KMeans_0': np.True_,
  'KMeans_1': np.True_,
  'KMeans_2': np.True_,
  'KMeans_3': np.True_,
  'KMeans_4': np.False_,
  'MeanShift_0': np.False_,
  'MeanShift_1': np.False_,
  'MeanShift_2': np.False_,
  'MeanShift_3': np.False_,
  'MeanShift_4': np.False_,
  'HDBSCAN_1_min_cluster_size': 13,
  'HDBSCAN_2_min_cluster_size': 30,
  'HDBSCAN_4_min_cluster_size': 18,
  'KMeans_0_n_clusters': 30,
  'KMeans_1_n_clusters': 18,
  'KMeans_2_n_clusters': 2,
  'KMeans_3_n_clusters': 27,
})",118.1180500984192
2,D13,naive_avg,SMAC BB,ALG_NUMBER,0.2198356981148291,"Configuration(values={
  'HDBSCAN': 3,
  'KMeans': 0,
  'MeanShift': 1,
  'HDBSCAN_0_min_cluster_size': 27,
  'HDBSCAN_1_min_cluster_size': 30,
  'HDBSCAN_2_min_cluster_size': 8,
  'MeanShift_0_bandwidth': 14.8500430802213,
})",103.87722826004028
0,D13,naive_avg,SMAC AC,FIXED,-0.024502428582142,"Configuration(values={
  'HDBSCAN_0_min_cluster_size': 21,
  'HDBSCAN_1_min_cluster_size': 4,
  'HDBSCAN_2_min_cluster_size': 27,
  'HDBSCAN_3_min_cluster_size': 29,
  'HDBSCAN_4_min_cluster_size': 27,
  'KMeans_0_n_clusters': 28,
  'KMeans_1_n_clusters': 16,
  'KMeans_2_n_clusters': 2,
  'KMeans_3_n_clusters': 13,
  'KMeans_4_n_clusters': 8,
  'MeanShift_0_bandwidth': 45.5518183009992,
  'MeanShift_1_bandwidth': 14.2103949977053,
  'MeanShift_2_bandwidth': 31.4979354770813,
  'MeanShift_3_bandwidth': 5.795080048084,
  'MeanShift_4_bandwidth': 0.2600571632969,
})",121.0948076248169
1,D13,naive_avg,SMAC AC,BINARY,-0.0265207407112993,"Configuration(values={
  'HDBSCAN_0': np.True_,
  'HDBSCAN_1': np.False_,
  'HDBSCAN_2': np.True_,
  'HDBSCAN_3': np.True_,
  'HDBSCAN_4': np.True_,
  'KMeans_0': np.True_,
  'KMeans_1': np.False_,
  'KMeans_2': np.True_,
  'KMeans_3': np.True_,
  'KMeans_4': np.True_,
  'MeanShift_0': np.True_,
  'MeanShift_1': np.True_,
  'MeanShift_2': np.False_,
  'MeanShift_3': np.True_,
  'MeanShift_4': np.False_,
  'HDBSCAN_0_min_cluster_size': 21,
  'HDBSCAN_2_min_cluster_size': 26,
  'HDBSCAN_3_min_cluster_size': 27,
  'HDBSCAN_4_min_cluster_size': 10,
  'KMeans_0_n_clusters': 29,
  'KMeans_2_n_clusters': 15,
  'KMeans_3_n_clusters': 23,
  'KMeans_4_n_clusters': 30,
  'MeanShift_0_bandwidth': 46.0384184766074,
  'MeanShift_1_bandwidth': 16.928005278561,
  'MeanShift_3_bandwidth': 10.3128767581377,
})",91.3208441734314
2,D13,naive_avg,SMAC AC,ALG_NUMBER,0.0543512118908296,"Configuration(values={
  'HDBSCAN': 2,
  'KMeans': 3,
  'MeanShift': 0,
  'HDBSCAN_0_min_cluster_size': 7,
  'HDBSCAN_1_min_cluster_size': 22,
  'KMeans_0_n_clusters': 25,
  'KMeans_1_n_clusters': 25,
  'KMeans_2_n_clusters': 14,
})",85.01498889923096
0,D13,naive_avg,BOHB,FIXED,-0.0731644589508918,"[('HDBSCAN', {'min_cluster_size': 18}), ('HDBSCAN', {'min_cluster_size': 15}), ('HDBSCAN', {'min_cluster_size': 24}), ('HDBSCAN', {'min_cluster_size': 19}), ('HDBSCAN', {'min_cluster_size': 2}), ('KMeans', {'n_clusters': 10}), ('KMeans', {'n_clusters': 15}), ('KMeans', {'n_clusters': 10}), ('KMeans', {'n_clusters': 11}), ('KMeans', {'n_clusters': 15}), ('MeanShift', {'bandwidth': 44.409010139847524}), ('MeanShift', {'bandwidth': 6.221230568225454}), ('MeanShift', {'bandwidth': 25.353020977284437}), ('MeanShift', {'bandwidth': 49.0227949573762}), ('MeanShift', {'bandwidth': 41.94609354900725})]",111.86182808876038
1,D13,naive_avg,BOHB,BINARY,0.1518624217240145,"[('HDBSCAN', {'min_cluster_size': 8}), ('KMeans', {'n_clusters': 15}), ('MeanShift', {'bandwidth': 39.28034919152744}), ('MeanShift', {'bandwidth': 35.087505705442766}), ('MeanShift', {'bandwidth': 33.776386094745504})]",73.32605791091919
2,D13,naive_avg,BOHB,ALG_NUMBER,0.2112620521953661,"[('HDBSCAN', {'min_cluster_size': 2}), ('KMeans', {'n_clusters': 17}), ('KMeans', {'n_clusters': 16}), ('MeanShift', {'bandwidth': 8.902376284981385}), ('MeanShift', {'bandwidth': 28.370598367819372}), ('MeanShift', {'bandwidth': 7.2215857292136185}), ('MeanShift', {'bandwidth': 5.884636764450389})]",73.92314100265503
0,D13,naive_avg,Optunity,FIXED,-0.0161088499520024,"[('HDBSCAN', {'min_cluster_size': 19.34080078125}), ('HDBSCAN', {'min_cluster_size': 22.90916015625}), ('HDBSCAN', {'min_cluster_size': 9.839461208814328}), ('HDBSCAN', {'min_cluster_size': 6.156001276430777}), ('HDBSCAN', {'min_cluster_size': 28.008817227890056}), ('KMeans', {'n_clusters': 23.354819243501407}), ('KMeans', {'n_clusters': 17.040502090069086}), ('KMeans', {'n_clusters': 9.122423632922585}), ('KMeans', {'n_clusters': 10.245872649607382}), ('KMeans', {'n_clusters': 26.817734375}), ('MeanShift', {'bandwidth': 7.709865730019446}), ('MeanShift', {'bandwidth': 42.5417462352989}), ('MeanShift', {'bandwidth': 16.150841796874996}), ('MeanShift', {'bandwidth': 0.19641673447790486}), ('MeanShift', {'bandwidth': 45.75835919095212})]",178.51156902313232
1,D13,naive_avg,Optunity,BINARY,0.2027553315509131,"[('HDBSCAN', {'min_cluster_size': 22.833261718750002}), ('HDBSCAN', {'min_cluster_size': 13.579724140288072}), ('KMeans', {'n_clusters': 12.082009261707148}), ('KMeans', {'n_clusters': 17.458053292525676})]",103.225576877594
2,D13,naive_avg,Optunity,ALG_NUMBER,0.7875000000000001,"[('HDBSCAN', {'min_cluster_size': 22.64956172493309})]",45.03821516036987
0,s-set1,naive_avg,SMAC HPO,FIXED,-0.0915906761427927,"Configuration(values={
  'HDBSCAN_0_min_cluster_size': 21,
  'HDBSCAN_1_min_cluster_size': 14,
  'HDBSCAN_2_min_cluster_size': 20,
  'HDBSCAN_3_min_cluster_size': 4,
  'HDBSCAN_4_min_cluster_size': 6,
  'KMeans_0_n_clusters': 9,
  'KMeans_1_n_clusters': 4,
  'KMeans_2_n_clusters': 9,
  'KMeans_3_n_clusters': 17,
  'KMeans_4_n_clusters': 2,
  'MeanShift_0_bandwidth': 25.8393668027595,
  'MeanShift_1_bandwidth': 31.1273503200071,
  'MeanShift_2_bandwidth': 44.2606714802328,
  'MeanShift_3_bandwidth': 45.1140561782269,
  'MeanShift_4_bandwidth': 41.7529963453544,
})",526.1683876514435
1,s-set1,naive_avg,SMAC HPO,BINARY,0.1628738696066612,"Configuration(values={
  'HDBSCAN_0': np.False_,
  'HDBSCAN_1': np.True_,
  'HDBSCAN_2': np.True_,
  'HDBSCAN_3': np.True_,
  'HDBSCAN_4': np.True_,
  'KMeans_0': np.False_,
  'KMeans_1': np.False_,
  'KMeans_2': np.False_,
  'KMeans_3': np.False_,
  'KMeans_4': np.False_,
  'MeanShift_0': np.True_,
  'MeanShift_1': np.False_,
  'MeanShift_2': np.True_,
  'MeanShift_3': np.False_,
  'MeanShift_4': np.False_,
  'HDBSCAN_1_min_cluster_size': 14,
  'HDBSCAN_2_min_cluster_size': 30,
  'HDBSCAN_3_min_cluster_size': 25,
  'HDBSCAN_4_min_cluster_size': 1,
  'MeanShift_0_bandwidth': 41.1809273230843,
  'MeanShift_2_bandwidth': 47.9477016342804,
})",224.14418697357172
2,s-set1,naive_avg,SMAC HPO,ALG_NUMBER,0.697,"Configuration(values={
  'HDBSCAN': 1,
  'KMeans': 0,
  'MeanShift': 0,
  'HDBSCAN_0_min_cluster_size': 13,
})",191.04496479034424
0,s-set1,naive_avg,SMAC BB,FIXED,-0.0757094969824611,"Configuration(values={
  'HDBSCAN_0_min_cluster_size': 9,
  'HDBSCAN_1_min_cluster_size': 1,
  'HDBSCAN_2_min_cluster_size': 21,
  'HDBSCAN_3_min_cluster_size': 11,
  'HDBSCAN_4_min_cluster_size': 1,
  'KMeans_0_n_clusters': 24,
  'KMeans_1_n_clusters': 18,
  'KMeans_2_n_clusters': 23,
  'KMeans_3_n_clusters': 15,
  'KMeans_4_n_clusters': 3,
  'MeanShift_0_bandwidth': 20.0028541667794,
  'MeanShift_1_bandwidth': 9.9276215043222,
  'MeanShift_2_bandwidth': 29.8647038980876,
  'MeanShift_3_bandwidth': 49.2608943529742,
  'MeanShift_4_bandwidth': 48.4725741731893,
})",328.22977352142334
1,s-set1,naive_avg,SMAC BB,BINARY,0.0987243084028669,"Configuration(values={
  'HDBSCAN_0': np.True_,
  'HDBSCAN_1': np.True_,
  'HDBSCAN_2': np.True_,
  'HDBSCAN_3': np.True_,
  'HDBSCAN_4': np.True_,
  'KMeans_0': np.False_,
  'KMeans_1': np.False_,
  'KMeans_2': np.False_,
  'KMeans_3': np.True_,
  'KMeans_4': np.False_,
  'MeanShift_0': np.False_,
  'MeanShift_1': np.False_,
  'MeanShift_2': np.True_,
  'MeanShift_3': np.False_,
  'MeanShift_4': np.True_,
  'HDBSCAN_0_min_cluster_size': 22,
  'HDBSCAN_1_min_cluster_size': 20,
  'HDBSCAN_2_min_cluster_size': 27,
  'HDBSCAN_3_min_cluster_size': 1,
  'HDBSCAN_4_min_cluster_size': 16,
  'KMeans_3_n_clusters': 2,
  'MeanShift_2_bandwidth': 42.3788092308205,
  'MeanShift_4_bandwidth': 14.2259675405852,
})",239.2186040878296
2,s-set1,naive_avg,SMAC BB,ALG_NUMBER,0.285800178607237,"Configuration(values={
  'HDBSCAN': 1,
  'KMeans': 1,
  'MeanShift': 0,
  'HDBSCAN_0_min_cluster_size': 4,
  'KMeans_0_n_clusters': 17,
})",206.65484833717343
0,s-set1,naive_avg,SMAC AC,FIXED,-0.1259135181532806,"Configuration(values={
  'HDBSCAN_0_min_cluster_size': 15,
  'HDBSCAN_1_min_cluster_size': 2,
  'HDBSCAN_2_min_cluster_size': 15,
  'HDBSCAN_3_min_cluster_size': 15,
  'HDBSCAN_4_min_cluster_size': 8,
  'KMeans_0_n_clusters': 8,
  'KMeans_1_n_clusters': 17,
  'KMeans_2_n_clusters': 18,
  'KMeans_3_n_clusters': 14,
  'KMeans_4_n_clusters': 2,
  'MeanShift_0_bandwidth': 47.7300880143223,
  'MeanShift_1_bandwidth': 30.5169591095789,
  'MeanShift_2_bandwidth': 39.3356149258446,
  'MeanShift_3_bandwidth': 16.694100243802,
  'MeanShift_4_bandwidth': 38.6042475323072,
})",243.04909014701843
1,s-set1,naive_avg,SMAC AC,BINARY,0.0418948080954169,"Configuration(values={
  'HDBSCAN_0': np.False_,
  'HDBSCAN_1': np.True_,
  'HDBSCAN_2': np.True_,
  'HDBSCAN_3': np.True_,
  'HDBSCAN_4': np.True_,
  'KMeans_0': np.False_,
  'KMeans_1': np.True_,
  'KMeans_2': np.False_,
  'KMeans_3': np.False_,
  'KMeans_4': np.False_,
  'MeanShift_0': np.True_,
  'MeanShift_1': np.False_,
  'MeanShift_2': np.False_,
  'MeanShift_3': np.True_,
  'MeanShift_4': np.False_,
  'HDBSCAN_1_min_cluster_size': 8,
  'HDBSCAN_2_min_cluster_size': 3,
  'HDBSCAN_3_min_cluster_size': 27,
  'HDBSCAN_4_min_cluster_size': 17,
  'KMeans_1_n_clusters': 15,
  'MeanShift_0_bandwidth': 10.255819099029,
  'MeanShift_3_bandwidth': 24.625398336865,
})",182.5645267963409
2,s-set1,naive_avg,SMAC AC,ALG_NUMBER,0.1409129040738653,"Configuration(values={
  'HDBSCAN': 5,
  'KMeans': 0,
  'MeanShift': 1,
  'HDBSCAN_0_min_cluster_size': 2,
  'HDBSCAN_1_min_cluster_size': 27,
  'HDBSCAN_2_min_cluster_size': 20,
  'HDBSCAN_3_min_cluster_size': 23,
  'HDBSCAN_4_min_cluster_size': 30,
  'MeanShift_0_bandwidth': 22.5347149182042,
})",159.02860283851624
0,s-set1,naive_avg,BOHB,FIXED,-0.0922481356503923,"[('HDBSCAN', {'min_cluster_size': 24}), ('HDBSCAN', {'min_cluster_size': 16}), ('HDBSCAN', {'min_cluster_size': 17}), ('HDBSCAN', {'min_cluster_size': 20}), ('HDBSCAN', {'min_cluster_size': 28}), ('KMeans', {'n_clusters': 30}), ('KMeans', {'n_clusters': 26}), ('KMeans', {'n_clusters': 12}), ('KMeans', {'n_clusters': 11}), ('KMeans', {'n_clusters': 20}), ('MeanShift', {'bandwidth': 17.285334973875507}), ('MeanShift', {'bandwidth': 6.973944038753679}), ('MeanShift', {'bandwidth': 6.999659992511233}), ('MeanShift', {'bandwidth': 23.331425610481567}), ('MeanShift', {'bandwidth': 24.420060683428503})]",260.8628418445587
1,s-set1,naive_avg,BOHB,BINARY,0.0490130442844712,"[('HDBSCAN', {'min_cluster_size': 24}), ('KMeans', {'n_clusters': 4}), ('KMeans', {'n_clusters': 28}), ('KMeans', {'n_clusters': 22}), ('MeanShift', {'bandwidth': 11.63552707918909}), ('MeanShift', {'bandwidth': 8.032275053231931}), ('MeanShift', {'bandwidth': 16.68618209056273}), ('MeanShift', {'bandwidth': 10.164278070824055})]",210.2479288578033
2,s-set1,naive_avg,BOHB,ALG_NUMBER,0.1271080015186099,"[('HDBSCAN', {'min_cluster_size': 5}), ('KMeans', {'n_clusters': 14}), ('KMeans', {'n_clusters': 20}), ('MeanShift', {'bandwidth': 18.976433739227353}), ('MeanShift', {'bandwidth': 5.063835249342565}), ('MeanShift', {'bandwidth': 9.239356999866095}), ('MeanShift', {'bandwidth': 34.29374800178291}), ('MeanShift', {'bandwidth': 21.696353622778005})]",200.8031187057495
0,s-set1,naive_avg,Optunity,FIXED,-0.0969839109040415,"[('HDBSCAN', {'min_cluster_size': 4.316308593750003}), ('HDBSCAN', {'min_cluster_size': 2.1597747434614827}), ('HDBSCAN', {'min_cluster_size': 21.132910156250002}), ('HDBSCAN', {'min_cluster_size': 12.840722656249998}), ('HDBSCAN', {'min_cluster_size': 14.985455824963813}), ('KMeans', {'n_clusters': 17.747265624999997}), ('KMeans', {'n_clusters': 15.824786775434287}), ('KMeans', {'n_clusters': 16.018293481608712}), ('KMeans', {'n_clusters': 29.325429955838153}), ('KMeans', {'n_clusters': 15.647265624999998}), ('MeanShift', {'bandwidth': 26.955361328124994}), ('MeanShift', {'bandwidth': 43.270322265625005}), ('MeanShift', {'bandwidth': 9.120009765625007}), ('MeanShift', {'bandwidth': 21.097958984374994}), ('MeanShift', {'bandwidth': 32.4603695479901})]",582.7335243225098
1,s-set1,naive_avg,Optunity,BINARY,0.121897529718627,"[('HDBSCAN', {'min_cluster_size': 13.693730468749997}), ('HDBSCAN', {'min_cluster_size': 2.0923936199766753}), ('KMeans', {'n_clusters': 16.744296874999996}), ('MeanShift', {'bandwidth': 45.430056640625004}), ('MeanShift', {'bandwidth': 18.043533203124998})]",228.82618737220764
2,s-set1,naive_avg,Optunity,ALG_NUMBER,0.5653517035620856,"[('HDBSCAN', {'min_cluster_size': 25.976301538991347}), ('HDBSCAN', {'min_cluster_size': 1.6864143456267593})]",156.33083510398865
0,square5,naive_avg,SMAC HPO,FIXED,-0.1384232431207451,"Configuration(values={
  'HDBSCAN_0_min_cluster_size': 28,
  'HDBSCAN_1_min_cluster_size': 4,
  'HDBSCAN_2_min_cluster_size': 7,
  'HDBSCAN_3_min_cluster_size': 22,
  'HDBSCAN_4_min_cluster_size': 27,
  'KMeans_0_n_clusters': 2,
  'KMeans_1_n_clusters': 8,
  'KMeans_2_n_clusters': 29,
  'KMeans_3_n_clusters': 20,
  'KMeans_4_n_clusters': 22,
  'MeanShift_0_bandwidth': 48.6337138533224,
  'MeanShift_1_bandwidth': 3.4265155984867,
  'MeanShift_2_bandwidth': 27.0606199102184,
  'MeanShift_3_bandwidth': 0.1984798766771,
  'MeanShift_4_bandwidth': 19.5529304547635,
})",237.17364645004272
1,square5,naive_avg,SMAC HPO,BINARY,-0.0947009338989746,"Configuration(values={
  'HDBSCAN_0': np.False_,
  'HDBSCAN_1': np.True_,
  'HDBSCAN_2': np.True_,
  'HDBSCAN_3': np.True_,
  'HDBSCAN_4': np.True_,
  'KMeans_0': np.True_,
  'KMeans_1': np.False_,
  'KMeans_2': np.True_,
  'KMeans_3': np.False_,
  'KMeans_4': np.False_,
  'MeanShift_0': np.True_,
  'MeanShift_1': np.True_,
  'MeanShift_2': np.True_,
  'MeanShift_3': np.False_,
  'MeanShift_4': np.False_,
  'HDBSCAN_1_min_cluster_size': 2,
  'HDBSCAN_2_min_cluster_size': 27,
  'HDBSCAN_3_min_cluster_size': 16,
  'HDBSCAN_4_min_cluster_size': 25,
  'KMeans_0_n_clusters': 21,
  'KMeans_2_n_clusters': 29,
  'MeanShift_0_bandwidth': 8.355057663098,
  'MeanShift_1_bandwidth': 36.8760680863634,
  'MeanShift_2_bandwidth': 1.69971202733,
})",142.08620309829712
2,square5,naive_avg,SMAC HPO,ALG_NUMBER,0.2815,"Configuration(values={
  'HDBSCAN': 1,
  'KMeans': 0,
  'MeanShift': 0,
  'HDBSCAN_0_min_cluster_size': 12,
})",148.23198914527893
0,square5,naive_avg,SMAC BB,FIXED,-0.0850689312744077,"Configuration(values={
  'HDBSCAN_0_min_cluster_size': 18,
  'HDBSCAN_1_min_cluster_size': 2,
  'HDBSCAN_2_min_cluster_size': 15,
  'HDBSCAN_3_min_cluster_size': 23,
  'HDBSCAN_4_min_cluster_size': 1,
  'KMeans_0_n_clusters': 28,
  'KMeans_1_n_clusters': 18,
  'KMeans_2_n_clusters': 23,
  'KMeans_3_n_clusters': 30,
  'KMeans_4_n_clusters': 22,
  'MeanShift_0_bandwidth': 0.1014559560505,
  'MeanShift_1_bandwidth': 10.6523407311116,
  'MeanShift_2_bandwidth': 0.1047860769939,
  'MeanShift_3_bandwidth': 0.1054551356955,
  'MeanShift_4_bandwidth': 17.2844198161488,
})",248.39479088783264
1,square5,naive_avg,SMAC BB,BINARY,0.0954798851611971,"Configuration(values={
  'HDBSCAN_0': np.True_,
  'HDBSCAN_1': np.False_,
  'HDBSCAN_2': np.True_,
  'HDBSCAN_3': np.True_,
  'HDBSCAN_4': np.False_,
  'KMeans_0': np.False_,
  'KMeans_1': np.False_,
  'KMeans_2': np.False_,
  'KMeans_3': np.True_,
  'KMeans_4': np.False_,
  'MeanShift_0': np.False_,
  'MeanShift_1': np.False_,
  'MeanShift_2': np.False_,
  'MeanShift_3': np.False_,
  'MeanShift_4': np.False_,
  'HDBSCAN_0_min_cluster_size': 17,
  'HDBSCAN_2_min_cluster_size': 28,
  'HDBSCAN_3_min_cluster_size': 1,
  'KMeans_3_n_clusters': 18,
})",147.09955167770386
2,square5,naive_avg,SMAC BB,ALG_NUMBER,0.1028233588707025,"Configuration(values={
  'HDBSCAN': 2,
  'KMeans': 1,
  'MeanShift': 0,
  'HDBSCAN_0_min_cluster_size': 13,
  'HDBSCAN_1_min_cluster_size': 4,
  'KMeans_0_n_clusters': 30,
})",143.07083225250244
0,square5,naive_avg,SMAC AC,FIXED,-0.1941083227324883,"Configuration(values={
  'HDBSCAN_0_min_cluster_size': 4,
  'HDBSCAN_1_min_cluster_size': 13,
  'HDBSCAN_2_min_cluster_size': 3,
  'HDBSCAN_3_min_cluster_size': 10,
  'HDBSCAN_4_min_cluster_size': 25,
  'KMeans_0_n_clusters': 18,
  'KMeans_1_n_clusters': 25,
  'KMeans_2_n_clusters': 16,
  'KMeans_3_n_clusters': 19,
  'KMeans_4_n_clusters': 12,
  'MeanShift_0_bandwidth': 5.3003323454378,
  'MeanShift_1_bandwidth': 1.3563061624993,
  'MeanShift_2_bandwidth': 9.6914215816656,
  'MeanShift_3_bandwidth': 47.4251804393881,
  'MeanShift_4_bandwidth': 7.7221703467216,
})",143.19130277633667
1,square5,naive_avg,SMAC AC,BINARY,-0.0553496635111748,"Configuration(values={
  'HDBSCAN_0': np.True_,
  'HDBSCAN_1': np.False_,
  'HDBSCAN_2': np.True_,
  'HDBSCAN_3': np.True_,
  'HDBSCAN_4': np.False_,
  'KMeans_0': np.True_,
  'KMeans_1': np.False_,
  'KMeans_2': np.False_,
  'KMeans_3': np.False_,
  'KMeans_4': np.False_,
  'MeanShift_0': np.True_,
  'MeanShift_1': np.False_,
  'MeanShift_2': np.False_,
  'MeanShift_3': np.False_,
  'MeanShift_4': np.False_,
  'HDBSCAN_0_min_cluster_size': 16,
  'HDBSCAN_2_min_cluster_size': 7,
  'HDBSCAN_3_min_cluster_size': 10,
  'KMeans_0_n_clusters': 16,
  'MeanShift_0_bandwidth': 41.7976421715101,
})",104.76261353492735
2,square5,naive_avg,SMAC AC,ALG_NUMBER,-0.1525509528620825,"Configuration(values={
  'HDBSCAN': 5,
  'KMeans': 5,
  'MeanShift': 3,
  'HDBSCAN_0_min_cluster_size': 16,
  'HDBSCAN_1_min_cluster_size': 3,
  'HDBSCAN_2_min_cluster_size': 19,
  'HDBSCAN_3_min_cluster_size': 16,
  'HDBSCAN_4_min_cluster_size': 16,
  'KMeans_0_n_clusters': 30,
  'KMeans_1_n_clusters': 10,
  'KMeans_2_n_clusters': 12,
  'KMeans_3_n_clusters': 6,
  'KMeans_4_n_clusters': 17,
  'MeanShift_0_bandwidth': 3.6240184402314,
  'MeanShift_1_bandwidth': 45.6320157414695,
  'MeanShift_2_bandwidth': 0.9059301966544,
})",118.3869514465332
0,square5,naive_avg,BOHB,FIXED,-0.1908774800693595,"[('HDBSCAN', {'min_cluster_size': 12}), ('HDBSCAN', {'min_cluster_size': 29}), ('HDBSCAN', {'min_cluster_size': 27}), ('HDBSCAN', {'min_cluster_size': 28}), ('HDBSCAN', {'min_cluster_size': 20}), ('KMeans', {'n_clusters': 7}), ('KMeans', {'n_clusters': 8}), ('KMeans', {'n_clusters': 25}), ('KMeans', {'n_clusters': 17}), ('KMeans', {'n_clusters': 21}), ('MeanShift', {'bandwidth': 38.360872423375454}), ('MeanShift', {'bandwidth': 29.737938428820996}), ('MeanShift', {'bandwidth': 10.26930166357988}), ('MeanShift', {'bandwidth': 31.788255359923934}), ('MeanShift', {'bandwidth': 12.16035499666918})]",195.9134509563446
1,square5,naive_avg,BOHB,BINARY,0.0531416446307889,"[('KMeans', {'n_clusters': 26}), ('KMeans', {'n_clusters': 26}), ('MeanShift', {'bandwidth': 34.40996833781514}), ('MeanShift', {'bandwidth': 25.70097396181768})]",131.94803977012634
2,square5,naive_avg,BOHB,ALG_NUMBER,0.0855570943378609,"[('KMeans', {'n_clusters': 5}), ('MeanShift', {'bandwidth': 28.13171558862877}), ('MeanShift', {'bandwidth': 36.91901610751895}), ('MeanShift', {'bandwidth': 16.202560314638475}), ('MeanShift', {'bandwidth': 26.341021614200496}), ('MeanShift', {'bandwidth': 17.465791996754238})]",128.0500133037567
0,square5,naive_avg,Optunity,FIXED,-0.1293574881910751,"[('HDBSCAN', {'min_cluster_size': 23.076250080017456}), ('HDBSCAN', {'min_cluster_size': 12.282414541887038}), ('HDBSCAN', {'min_cluster_size': 25.818876734441957}), ('HDBSCAN', {'min_cluster_size': 22.189547288199655}), ('HDBSCAN', {'min_cluster_size': 2.3841834624364138}), ('KMeans', {'n_clusters': 27.071321128317827}), ('KMeans', {'n_clusters': 4.11146342145231}), ('KMeans', {'n_clusters': 18.69456181045786}), ('KMeans', {'n_clusters': 26.359035530064396}), ('KMeans', {'n_clusters': 8.803355032648046}), ('MeanShift', {'bandwidth': 0.5259411029826735}), ('MeanShift', {'bandwidth': 7.740196800895799}), ('MeanShift', {'bandwidth': 20.667078452951895}), ('MeanShift', {'bandwidth': 3.572421074803438}), ('MeanShift', {'bandwidth': 29.894072475627514})]",308.6620442867279
